task,seed,candidate_id,operator,original_error,ast_interface_pass,valid,better_than_nn,better_than_original_search_winner,score,error
cvrp,2024,3,reflection,ValueError: missing concept,True,True,False,False,-15.235708188073199,
cvrp,2024,6,cross,ValueError: missing hypothesis JSON object,True,True,False,False,-15.159630758875409,
cvrp,2024,9,cross,ValueError: missing hypothesis JSON object,True,True,False,False,-21.297750727726942,
cvrp,2024,13,reflection,ValueError: missing concept,True,True,False,False,-15.242472581673407,
cvrp,2024,14,summary,ValueError: missing hypothesis JSON object,True,True,False,False,-15.159630758875409,
cvrp,2024,16,reflection,ValueError: missing concept,True,True,False,False,-15.159630758875409,
tsp,2024,3,reflection,ValueError: missing concept,True,True,False,False,-8.363584515271674,
tsp,2024,5,reflection,ValueError: missing concept,True,True,False,False,-7.726912468459153,
tsp,2024,8,summary,ValueError: missing hypothesis JSON object,True,True,False,False,-8.097456867643658,
tsp,2024,9,cross,ValueError: missing hypothesis JSON object,True,True,False,False,-8.795361616362964,
tsp,2024,13,reflection,ValueError: missing concept,True,True,True,True,-6.38095014528793,
cvrp,2025,2,reflection,ValueError: missing concept,True,True,False,False,-16.875749194995237,
cvrp,2025,3,reflection,ValueError: missing concept,True,True,False,False,-23.061188215087082,
cvrp,2025,6,reflection,ValueError: missing concept,True,True,False,False,-16.521617455856422,
cvrp,2025,7,reflection,ValueError: missing concept,True,True,False,False,-25.66803551331637,
cvrp,2025,8,reflection,ValueError: missing concept,True,True,False,False,-18.97220054452994,
cvrp,2025,9,reflection,ValueError: missing concept,True,True,False,False,-15.113735487869398,
tsp,2025,2,reflection,ValueError: missing concept,True,True,False,False,-9.735078732922252,
tsp,2025,4,reflection,ValueError: missing concept,True,True,False,False,-8.028184863222858,
tsp,2025,9,cross,ValueError: missing hypothesis JSON object,True,True,False,False,-8.462478090463616,
tsp,2025,10,reflection,ValueError: missing concept,True,True,False,False,-7.269032410628824,
tsp,2025,11,summary,ValueError: missing hypothesis JSON object,True,True,False,False,-15.518526661967787,
tsp,2025,12,cross,ValueError: missing hypothesis JSON object,True,True,True,False,-7.064800386355784,
tsp,2025,14,summary,ValueError: missing hypothesis JSON object,True,True,False,False,-12.751956680204618,
tsp,2025,15,cross,ValueError: missing hypothesis JSON object,True,True,True,False,-7.071619108806144,
tsp,2025,16,reflection,ValueError: missing concept,True,True,False,False,-8.824893037647897,
cvrp,2026,5,reflection,ValueError: missing concept,True,True,False,False,-15.156874274419124,
cvrp,2026,6,reflection,ValueError: missing concept,True,True,False,False,-15.3920456730201,
cvrp,2026,7,reflection,ValueError: missing concept,True,True,False,False,-15.159630758875409,
cvrp,2026,8,reflection,ValueError: missing concept,True,False,False,False,,TypeError: only integer scalar arrays can be converted to a scalar index
cvrp,2026,9,reflection,ValueError: missing concept,True,True,False,False,-15.93044780757229,
cvrp,2026,14,summary,ValueError: missing hypothesis JSON object,True,True,False,False,-16.116677035546324,
tsp,2026,3,reflection,ValueError: missing concept,True,True,False,False,-7.107776446282023,
tsp,2026,5,summary,ValueError: missing hypothesis JSON object,True,True,False,False,-7.107776446282023,
tsp,2026,6,cross,ValueError: missing hypothesis JSON object,True,True,False,False,-8.649049965048953,
tsp,2026,8,summary,ValueError: missing hypothesis JSON object,True,True,True,True,-6.740918497554864,
tsp,2026,11,summary,ValueError: missing hypothesis JSON object,True,True,False,False,-7.825165509980856,
tsp,2026,14,summary,ValueError: missing hypothesis JSON object,True,True,False,False,-7.703190726574153,
tsp,2026,15,cross,ValueError: missing hypothesis JSON object,True,True,False,False,-7.107776446282023,
