task,method,seed,status,llm_calls,http_requests,total_tokens,attempts,valid,search_cost,test_cost,nn_improvement_percent,improved_trials,regressed_trials,invalid_trials,elapsed_seconds,active_partitions,summary_version,operator_counts,errors
tsp,hypoevo,2024,completed,28,28,115868,16,10,7.0869918156075435,7.114358671391074,-2.3065117613160417,3,7,6,351.63513791700825,4,-1,"{""reflection"": 10, ""summary"": 3, ""cross"": 3}","{""SyntaxError: cannot assign to expression (<unknown>, line 58)"": 1, ""ValueError: missing concept"": 3, ""ValueError: missing hypothesis JSON object"": 2}"
tsp,no_memory,2024,completed,28,28,35919,19,8,7.107776446282023,6.95396465866129,0.0,3,3,11,236.47830962500302,4,-1,"{""reflection"": 9, ""summary"": 5, ""cross"": 5}","{""JSONDecodeError: Expecting property name enclosed in double quotes: line 1 column 2 (char 1)"": 1, ""ValueError: missing hypothesis JSON object"": 8, ""NameError: name 'total_dist_tothers' is not defined"": 1, ""ValueError: missing concept"": 1}"
tsp,eoh,2024,completed,28,28,43302,28,24,6.799040325382883,6.855431757758524,1.416931286529357,0,0,0,341.3287477080012,,,{},{}
cvrp,hypoevo,2024,completed,28,28,98655,16,9,14.076376712815474,13.897895125953895,2.737102198573889,3,4,7,223.0450783749984,4,13,"{""reflection"": 9, ""cross"": 4, ""summary"": 3}","{""TypeError: 'int' object is not subscriptable"": 1, ""ValueError: missing concept"": 3, ""ValueError: missing hypothesis JSON object"": 3}"
cvrp,no_memory,2024,completed,28,28,44704,20,8,14.383196000316916,14.288999649514984,0.0,0,5,12,311.1067957500054,4,-1,"{""reflection"": 9, ""summary"": 6, ""cross"": 5}","{""ValueError: missing hypothesis JSON object"": 10, ""ValueError: missing concept"": 2}"
cvrp,eoh,2024,completed,28,28,25750,28,13,14.327307509079567,14.226357381654871,0.43839505491372416,0,0,0,270.96733437498915,,,{},{}
tsp,hypoevo,2025,completed,28,28,110650,17,8,6.76588012226307,6.834646285974302,1.715832313561941,2,6,9,265.89046995800163,4,10,"{""reflection"": 9, ""cross"": 4, ""summary"": 4}","{""ValueError: missing concept"": 4, ""ValueError: missing hypothesis JSON object"": 5}"
tsp,no_memory,2025,completed,28,28,37901,19,9,7.107776446282023,6.95396465866129,0.0,1,7,10,239.5836204590014,4,-1,"{""reflection"": 9, ""summary"": 5, ""cross"": 5}","{""ValueError: missing hypothesis JSON object"": 9, ""ValueError: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()"": 1}"
tsp,eoh,2025,completed,28,28,42940,28,25,6.836967831271623,6.809623300216562,2.075670003081597,0,0,0,345.6702421250084,,,{},{}
cvrp,hypoevo,2025,completed,28,28,107759,15,8,14.383196000316916,14.288999649514984,0.0,1,7,7,338.37002558300446,4,-1,"{""reflection"": 11, ""summary"": 2, ""cross"": 2}","{""ValueError: missing concept"": 6, ""TypeError: 'float' object is not subscriptable"": 1}"
cvrp,no_memory,2025,completed,28,28,39955,17,5,14.383196000316916,14.288999649514984,0.0,2,3,12,242.03468058300496,4,-1,"{""reflection"": 12, ""summary"": 3, ""cross"": 2}","{""ValueError: missing concept"": 3, ""TypeError: 'int' object is not subscriptable"": 3, ""ValueError: missing hypothesis JSON object"": 6}"
cvrp,eoh,2025,completed,28,28,25697,28,17,14.080301174825813,14.001803474073537,2.0099109978716823,0,0,0,259.47602124999685,,,{},{}
tsp,hypoevo,2026,completed,28,28,103295,17,10,7.107776446282023,6.95396465866129,0.0,2,4,7,278.2990446249896,4,13,"{""reflection"": 8, ""summary"": 5, ""cross"": 4}","{""ValueError: missing concept"": 1, ""ValueError: missing hypothesis JSON object"": 6}"
tsp,no_memory,2026,completed,28,28,37198,20,7,7.107776446282023,6.95396465866129,0.0,1,6,13,228.86356754200824,4,-1,"{""reflection"": 9, ""summary"": 6, ""cross"": 5}","{""ValueError: missing concept"": 1, ""ValueError: missing hypothesis JSON object"": 11, ""JSONDecodeError: Expecting property name enclosed in double quotes: line 3 column 1 (char 286)"": 1}"
tsp,eoh,2026,completed,28,28,33452,26,22,6.832508259569972,6.832575831792965,1.7456060366532553,0,0,0,289.5091337500053,,,{},{}
cvrp,hypoevo,2026,completed,28,28,102941,15,6,14.383196000316916,14.288999649514984,0.0,2,3,9,277.5524340830016,4,-1,"{""reflection"": 11, ""summary"": 2, ""cross"": 2}","{""TypeError: 'int' object is not subscriptable"": 2, ""ValueError: missing concept"": 5, ""ValueError: missing hypothesis JSON object"": 1, ""SyntaxError: invalid syntax (<unknown>, line 1)"": 1}"
cvrp,no_memory,2026,completed,28,28,51236,19,5,14.383196000316916,14.288999649514984,0.0,1,4,14,275.69791375000204,4,-1,"{""reflection"": 11, ""summary"": 4, ""cross"": 4}","{""TypeError: 'int' object is not subscriptable"": 2, ""ValueError: missing hypothesis JSON object"": 7, ""ValueError: missing concept"": 4, ""JSONDecodeError: Expecting property name enclosed in double quotes: line 3 column 1 (char 245)"": 1}"
cvrp,eoh,2026,completed,28,28,25561,28,17,14.225925551929105,13.990571394736556,2.0885174756691844,0,0,0,263.1755883750011,,,{},{}
